date,Python_time_series_analysis,R_time_series_analysis,Stata_time_series_analysis
2004-01,0,0,0
2004-02,0,0,73
2004-03,0,0,0
2004-04,0,34,0
2004-05,0,36,34
2004-06,46,0,70
2004-07,0,57,0
2004-08,0,0,0
2004-09,0,0,40
2004-10,0,0,0
2004-11,0,28,0
2004-12,0,0,100
2005-01,21,0,0
2005-02,0,0,23
2005-03,0,0,19
2005-04,0,0,0
2005-05,0,0,26
2005-06,0,0,0
2005-07,31,0,0
2005-08,23,0,0
2005-09,16,0,0
2005-10,0,20,22
2005-11,0,41,0
2005-12,0,0,0
2006-01,18,40,0
2006-02,0,22,0
2006-03,0,0,0
2006-04,0,0,0
2006-05,0,0,0
2006-06,0,0,0
2006-07,0,0,0
2006-08,0,19,0
2006-09,0,0,0
2006-10,0,12,0
2006-11,0,0,0
2006-12,0,0,0
2007-01,0,0,0
2007-02,0,16,0
2007-03,0,0,0
2007-04,0,0,0
2007-05,0,0,14
2007-06,0,0,0
2007-07,0,13,0
2007-08,0,0,0
2007-09,0,12,0
2007-10,0,0,0
2007-11,0,13,0
2007-12,8,10,0
2008-01,6,16,0
2008-02,0,0,0
2008-03,0,15,0
2008-04,0,20,0
2008-05,0,0,0
2008-06,0,30,0
2008-07,0,5,0
2008-08,0,10,0
2008-09,0,12,0
2008-10,6,28,6
2008-11,0,15,12
2008-12,0,7,0
2009-01,0,13,0
2009-02,0,0,0
2009-03,6,0,0
2009-04,11,15,4
2009-05,0,0,0
2009-06,0,17,4
2009-07,7,5,0
2009-08,0,0,0
2009-09,5,5,0
2009-10,0,8,0
2009-11,0,5,0
2009-12,0,10,0
2010-01,10,6,5
2010-02,0,17,7
2010-03,0,15,0
2010-04,0,11,0
2010-05,0,6,0
2010-06,0,14,4
2010-07,0,0,10
2010-08,0,4,7
2010-09,0,8,0
2010-10,0,19,0
2010-11,6,10,0
2010-12,6,7,0
2011-01,7,11,0
2011-02,0,11,4
2011-03,2,14,5
2011-04,0,8,5
2011-05,11,14,0
2011-06,0,6,0
2011-07,0,8,3
2011-08,0,7,3
2011-09,0,12,2
2011-10,0,8,0
2011-11,0,7,2
2011-12,0,10,2
2012-01,0,7,0
2012-02,0,9,5
2012-03,3,7,7
2012-04,4,15,0
2012-05,0,16,5
2012-06,0,17,4
2012-07,0,6,0
2012-08,0,15,3
2012-09,3,12,2
2012-10,2,7,2
2012-11,0,18,2
2012-12,2,9,2
2013-01,9,11,2
2013-02,0,15,3
2013-03,2,20,5
2013-04,2,13,0
2013-05,0,12,5
2013-06,0,11,2
2013-07,0,11,0
2013-08,4,11,1
2013-09,0,17,1
2013-10,2,12,0
2013-11,0,17,2
2013-12,3,12,3
2014-01,2,13,1
2014-02,5,20,2
2014-03,2,19,4
2014-04,2,16,4
2014-05,0,15,4
2014-06,0,14,4
2014-07,3,17,0
2014-08,0,16,2
2014-09,2,15,2
2014-10,2,18,3
2014-11,0,17,3
2014-12,3,13,0
2015-01,7,15,4
2015-02,2,16,5
2015-03,2,17,0
2015-04,2,14,3
2015-05,3,19,0
2015-06,0,16,0
2015-07,2,17,0
2015-08,4,14,1
2015-09,3,14,3
2015-10,6,17,0
2015-11,7,24,0
2015-12,6,15,2
2016-01,0,14,3
2016-02,3,18,0
2016-03,4,20,3
2016-04,5,15,7
2016-05,4,17,2
2016-06,5,17,2
2016-07,3,15,3
2016-08,3,15,3
2016-09,6,18,0
2016-10,6,16,3
2016-11,5,22,2
2016-12,3,18,3
2017-01,5,16,0
2017-02,6,18,2
2017-03,7,20,2
2017-04,6,20,4
2017-05,5,22,2
2017-06,2,11,0
2017-07,6,15,0
2017-08,7,12,0
2017-09,4,16,4
2017-10,7,16,0
2017-11,8,16,2
2017-12,7,14,2
2018-01,9,16,2
2018-02,12,20,0
2018-03,8,20,2
2018-04,12,21,1
2018-05,10,19,1
2018-06,11,16,1
2018-07,8,10,0
2018-08,11,15,1
2018-09,2,15,0
2018-10,11,22,2
2018-11,8,19,2
2018-12,7,12,1
2019-01,9,12,0
2019-02,10,13,2
2019-03,11,19,1
2019-04,10,17,0
2019-05,10,15,2
2019-06,11,9,0
2019-07,13,8,3
2019-08,15,14,0
2019-09,12,15,0
2019-10,16,15,3
2019-11,8,12,1
2019-12,9,14,0
2020-01,15,10,1
2020-02,16,10,2
2020-03,13,15,0
2020-04,9,17,2
2020-05,15,17,0
2020-06,13,13,1
2020-07,15,13,0
2020-08,14,8,2
2020-09,10,12,2
2020-10,9,9,0
2020-11,9,10,1
2020-12,8,7,0
2021-01,7,9,0
2021-02,9,9,0
2021-03,10,10,1
2021-04,14,11,0
2021-05,8,11,1
2021-06,10,7,2
2021-07,11,6,2
2021-08,9,7,2
2021-09,15,7,2
2021-10,13,9,0
2021-11,8,10,0
2021-12,11,10,2
2022-01,12,10,1
2022-02,16,15,2
2022-03,19,20,2
2022-04,18,16,0
2022-05,14,14,3
2022-06,17,10,2
2022-07,13,13,1
2022-08,12,10,2
2022-09,18,11,4
2022-10,14,12,0
2022-11,18,15,2
