date,python_machine_learning,R_machine_learning,Stata_machine_learning
2004-01,0,0,0
2004-02,0,0,0
2004-03,0,0,0
2004-04,0,0,0
2004-05,0,0,15
2004-06,0,0,0
2004-07,0,7,0
2004-08,7,0,0
2004-09,0,0,0
2004-10,5,0,0
2004-11,6,16,0
2004-12,0,0,0
2005-01,0,0,5
2005-02,17,0,0
2005-03,3,0,0
2005-04,0,0,4
2005-05,5,0,4
2005-06,0,9,7
2005-07,0,0,0
2005-08,0,0,0
2005-09,0,0,0
2005-10,0,0,0
2005-11,0,0,0
2005-12,0,0,0
2006-01,0,5,0
2006-02,0,2,0
2006-03,0,0,7
2006-04,0,8,0
2006-05,3,0,0
2006-06,0,0,0
2006-07,0,3,0
2006-08,6,0,3
2006-09,0,0,0
2006-10,0,0,0
2006-11,0,0,3
2006-12,7,0,0
2007-01,0,0,0
2007-02,0,0,0
2007-03,2,2,4
2007-04,3,0,0
2007-05,0,6,0
2007-06,0,2,0
2007-07,0,0,0
2007-08,2,0,2
2007-09,0,0,0
2007-10,0,0,0
2007-11,0,0,0
2007-12,0,0,0
2008-01,0,0,0
2008-02,0,0,2
2008-03,1,0,0
2008-04,1,0,0
2008-05,2,0,2
2008-06,4,0,0
2008-07,3,1,0
2008-08,1,2,0
2008-09,4,0,0
2008-10,0,3,0
2008-11,1,0,0
2008-12,0,4,0
2009-01,4,0,1
2009-02,2,1,0
2009-03,0,0,0
2009-04,0,1,0
2009-05,0,0,0
2009-06,2,1,0
2009-07,0,0,0
2009-08,0,0,1
2009-09,0,1,0
2009-10,1,2,0
2009-11,0,1,0
2009-12,1,0,0
2010-01,0,2,0
2010-02,0,2,0
2010-03,2,0,0
2010-04,1,1,0
2010-05,1,1,0
2010-06,0,0,1
2010-07,1,0,0
2010-08,1,2,0
2010-09,2,1,0
2010-10,0,1,0
2010-11,2,1,0
2010-12,1,1,0
2011-01,0,1,0
2011-02,4,< 1,0
2011-03,2,0,1
2011-04,1,1,0
2011-05,2,1,0
2011-06,1,2,0
2011-07,1,1,0
2011-08,1,1,0
2011-09,2,< 1,0
2011-10,2,1,0
2011-11,2,2,0
2011-12,2,1,0
2012-01,2,1,0
2012-02,3,1,< 1
2012-03,2,1,0
2012-04,3,1,1
2012-05,2,2,0
2012-06,3,3,0
2012-07,2,2,0
2012-08,3,2,0
2012-09,3,1,0
2012-10,3,2,0
2012-11,2,2,1
2012-12,3,2,1
2013-01,3,3,0
2013-02,3,3,0
2013-03,4,2,0
2013-04,3,3,0
2013-05,3,1,0
2013-06,4,2,0
2013-07,3,2,1
2013-08,5,4,< 1
2013-09,4,3,0
2013-10,7,4,0
2013-11,5,4,0
2013-12,5,4,0
2014-01,6,4,< 1
2014-02,7,5,0
2014-03,7,5,< 1
2014-04,7,7,0
2014-05,6,7,0
2014-06,5,7,0
2014-07,6,8,0
2014-08,5,5,0
2014-09,7,7,0
2014-10,7,7,1
2014-11,7,8,< 1
2014-12,7,9,0
2015-01,7,9,< 1
2015-02,7,8,0
2015-03,9,10,0
2015-04,9,10,0
2015-05,10,10,1
2015-06,11,10,0
2015-07,12,12,0
2015-08,11,11,0
2015-09,12,10,< 1
2015-10,13,9,0
2015-11,14,8,< 1
2015-12,14,9,< 1
2016-01,15,10,0
2016-02,17,10,0
2016-03,19,9,0
2016-04,20,11,< 1
2016-05,19,11,< 1
2016-06,23,11,< 1
2016-07,21,11,0
2016-08,18,10,0
2016-09,23,13,0
2016-10,24,12,< 1
2016-11,28,13,< 1
2016-12,29,12,< 1
2017-01,35,15,0
2017-02,38,16,1
2017-03,40,18,< 1
2017-04,41,17,0
2017-05,45,18,0
2017-06,42,18,0
2017-07,45,16,1
2017-08,47,17,0
2017-09,56,17,0
2017-10,51,17,< 1
2017-11,58,19,0
2017-12,54,17,< 1
2018-01,57,18,1
2018-02,61,19,< 1
2018-03,65,20,< 1
2018-04,57,17,0
2018-05,65,18,< 1
2018-06,62,17,< 1
2018-07,65,16,< 1
2018-08,65,16,< 1
2018-09,64,16,1
2018-10,70,17,< 1
2018-11,68,16,0
2018-12,60,14,< 1
2019-01,69,16,< 1
2019-02,69,13,0
2019-03,72,15,< 1
2019-04,70,15,1
2019-05,68,15,0
2019-06,76,15,< 1
2019-07,75,15,< 1
2019-08,72,13,0
2019-09,77,14,0
2019-10,79,14,1
2019-11,76,15,< 1
2019-12,71,12,0
2020-01,79,13,0
2020-02,85,15,0
2020-03,65,12,< 1
2020-04,71,13,1
2020-05,75,12,< 1
2020-06,71,11,< 1
2020-07,70,11,< 1
2020-08,66,10,0
2020-09,66,11,1
2020-10,57,9,1
2020-11,49,9,0
2020-12,50,7,0
2021-01,49,8,< 1
2021-02,49,9,< 1
2021-03,55,10,0
2021-04,59,8,0
2021-05,58,9,< 1
2021-06,56,9,0
2021-07,54,7,< 1
2021-08,49,6,< 1
2021-09,57,9,0
2021-10,56,9,0
2021-11,57,9,0
2021-12,53,9,< 1
2022-01,82,12,1
2022-02,95,14,< 1
2022-03,100,13,1
2022-04,98,13,< 1
2022-05,90,14,< 1
2022-06,93,11,< 1
2022-07,89,10,1
2022-08,91,12,0
2022-09,90,11,0
2022-10,94,12,0
2022-11,95,13,< 1
