date,python_plotting,R_plotting,Stata_plotting
2004-01,0,0,0
2004-02,64,63,64
2004-03,0,0,0
2004-04,81,0,0
2004-05,0,0,0
2004-06,0,60,0
2004-07,48,33,0
2004-08,0,43,0
2004-09,0,0,29
2004-10,0,0,0
2004-11,0,0,0
2004-12,0,0,0
2005-01,28,0,0
2005-02,0,0,22
2005-03,37,36,0
2005-04,20,46,0
2005-05,0,0,21
2005-06,18,23,0
2005-07,0,25,0
2005-08,22,34,0
2005-09,0,0,17
2005-10,0,0,0
2005-11,46,0,0
2005-12,0,96,0
2006-01,25,0,0
2006-02,49,30,0
2006-03,12,21,26
2006-04,0,29,0
2006-05,0,29,12
2006-06,0,12,17
2006-07,37,33,0
2006-08,0,17,0
2006-09,0,35,0
2006-10,0,16,0
2006-11,16,0,29
2006-12,24,11,11
2007-01,0,28,0
2007-02,0,50,15
2007-03,10,26,9
2007-04,9,0,0
2007-05,40,22,0
2007-06,13,24,8
2007-07,14,23,0
2007-08,0,17,0
2007-09,0,13,0
2007-10,6,19,0
2007-11,15,16,10
2007-12,11,8,0
2008-01,19,12,0
2008-02,7,13,0
2008-03,8,16,0
2008-04,0,26,0
2008-05,8,18,0
2008-06,12,13,5
2008-07,20,19,0
2008-08,11,21,0
2008-09,10,14,0
2008-10,10,20,0
2008-11,22,19,0
2008-12,9,13,5
2009-01,6,22,7
2009-02,13,26,0
2009-03,13,17,0
2009-04,18,13,0
2009-05,13,26,5
2009-06,9,22,0
2009-07,20,19,6
2009-08,13,19,7
2009-09,15,22,8
2009-10,18,30,0
2009-11,14,21,0
2009-12,15,17,0
2010-01,9,33,3
2010-02,12,28,0
2010-03,8,18,0
2010-04,7,17,0
2010-05,11,36,0
2010-06,15,19,10
2010-07,11,6,0
2010-08,4,15,0
2010-09,7,23,4
2010-10,5,26,5
2010-11,15,32,0
2010-12,0,15,6
2011-01,13,32,4
2011-02,17,27,0
2011-03,21,21,5
2011-04,16,38,5
2011-05,12,21,5
2011-06,15,18,0
2011-07,16,20,0
2011-08,10,25,0
2011-09,10,29,0
2011-10,12,31,0
2011-11,8,36,3
2011-12,8,19,3
2012-01,9,30,0
2012-02,9,26,11
2012-03,12,33,4
2012-04,15,31,4
2012-05,20,30,3
2012-06,19,16,0
2012-07,25,28,0
2012-08,16,22,4
2012-09,18,34,0
2012-10,19,40,0
2012-11,21,25,5
2012-12,15,22,0
2013-01,12,38,0
2013-02,25,44,0
2013-03,16,34,3
2013-04,22,33,6
2013-05,18,28,4
2013-06,20,29,2
2013-07,26,25,8
2013-08,20,21,0
2013-09,18,33,3
2013-10,26,40,3
2013-11,19,38,2
2013-12,18,30,3
2014-01,19,33,0
2014-02,25,43,5
2014-03,20,43,0
2014-04,17,43,2
2014-05,23,38,1
2014-06,23,35,2
2014-07,23,33,2
2014-08,19,35,0
2014-09,25,36,4
2014-10,35,46,4
2014-11,32,53,3
2014-12,20,35,3
2015-01,19,33,10
2015-02,35,56,4
2015-03,31,50,1
2015-04,30,47,6
2015-05,26,45,2
2015-06,27,39,0
2015-07,31,42,3
2015-08,24,39,0
2015-09,26,43,6
2015-10,35,47,3
2015-11,32,47,2
2015-12,25,31,1
2016-01,28,32,5
2016-02,40,49,3
2016-03,32,44,2
2016-04,37,66,4
2016-05,33,45,2
2016-06,38,31,6
2016-07,25,36,1
2016-08,38,41,0
2016-09,37,44,2
2016-10,39,47,1
2016-11,42,51,3
2016-12,33,39,2
2017-01,41,40,5
2017-02,53,60,3
2017-03,50,56,3
2017-04,49,51,4
2017-05,52,48,0
2017-06,46,39,0
2017-07,53,40,0
2017-08,45,38,6
2017-09,55,47,2
2017-10,53,50,4
2017-11,66,58,3
2017-12,48,43,0
2018-01,48,45,0
2018-02,52,53,2
2018-03,60,51,0
2018-04,60,54,4
2018-05,57,39,2
2018-06,51,39,0
2018-07,52,34,1
2018-08,57,38,2
2018-09,59,41,2
2018-10,75,51,1
2018-11,70,47,2
2018-12,48,38,0
2019-01,62,31,1
2019-02,66,43,2
2019-03,65,46,2
2019-04,64,44,3
2019-05,56,47,2
2019-06,65,34,0
2019-07,68,32,1
2019-08,57,33,0
2019-09,73,41,0
2019-10,77,39,2
2019-11,77,42,2
2019-12,57,29,0
2020-01,65,29,2
2020-02,73,42,1
2020-03,72,39,3
2020-04,71,40,0
2020-05,68,38,4
2020-06,77,37,1
2020-07,54,30,2
2020-08,55,29,2
2020-09,66,36,2
2020-10,59,25,3
2020-11,51,27,1
2020-12,46,23,2
2021-01,39,21,0
2021-02,52,24,1
2021-03,58,24,1
2021-04,55,25,0
2021-05,50,25,2
2021-06,51,23,0
2021-07,43,17,0
2021-08,45,16,1
2021-09,59,28,0
2021-10,53,31,2
2021-11,63,28,0
2021-12,55,28,1
2022-01,74,23,1
2022-02,98,42,2
2022-03,99,48,1
2022-04,100,53,3
2022-05,80,40,0
2022-06,71,32,0
2022-07,65,27,0
2022-08,70,28,3
2022-09,86,30,0
2022-10,88,40,1
2022-11,95,44,1
